,string,start_ms,end_ms,latency_ms
110,use.,1467.1095,1471.948,4.838500000000067
111,Mine,1471.985,1476.2892,4.304200000000037
112,eyes,1476.3243,1479.8519,3.527599999999893
113,are,1479.8958,1483.7122,3.8163999999999305
114,made,1483.7572,1488.7795,5.022300000000087
115,the,1488.8347,1492.5174,3.6826999999998407
116,fools,1492.5519,1496.2592,3.707300000000032
117,o’,1496.3003,1500.3114,4.011099999999942
118,th’,1500.3628,1504.2582,3.8953999999998814
119,other,1504.2949,1508.0428,3.747899999999845
120,senses,1508.1169,1511.781,3.664099999999962
121,Or,1511.8174,1515.7844,3.9670000000000982
122,else,1515.904,1520.9621,5.058099999999968
123,worth,1521.0274,1524.6274,3.6000000000001364
124,all,1524.6843,1528.2189,3.5346000000001823
125,the,1528.2567,1532.3985,4.141800000000103
126,rest.,1532.4396,1536.832,4.39240000000018
127,I,1536.8802,1540.8474,3.967200000000048
128,see,1540.8917,1544.3539,3.4622000000001663
129,thee,1544.3981,1549.598,5.199899999999843
130,"still,",1549.6538,1553.3185,3.664700000000039
131,"And,",1553.3582,1556.8433,3.4851000000001022
132,on,1556.877,1560.7804,3.903400000000147
133,thy,1560.825,1566.6491,5.824100000000044
134,blade,1566.7167,1571.0178,4.301100000000133
135,and,1571.0557,1575.2568,4.201100000000224
136,"dudgeon,",1575.3042,1580.8153,5.511099999999942
137,gouts,1580.9353,1585.3048,4.369499999999789
138,of,1585.3567,1589.2558,3.899099999999862
139,"blood,",1589.3054,1593.7498,4.444400000000087
140,Which,1593.7859,1597.9,4.114100000000008
141,was,1597.938,1603.1004,5.162399999999934
142,not,1603.1373,1607.0247,3.887399999999843
143,so,1607.0777,1610.9481,3.870400000000018
144,before.,1611.0764,1615.2544,4.178000000000111
145,There’s,1615.2905,1619.5141,4.223600000000033
146,no,1619.5523,1623.7773,4.224999999999909
147,such,1623.8125,1628.5646,4.752099999999928
148,thing.,1628.6529,1633.2545,4.601599999999962
149,It,1633.2985,1637.1849,3.886399999999867
150,is,1637.221,1640.9789,3.7579000000000633
151,the,1641.0334,1646.1567,5.123299999999972
152,bloody,1646.1934,1650.422,4.228599999999915
153,business,1650.4607,1653.9567,3.495999999999867
154,which,1653.9923,1658.6552,4.662900000000036
155,informs,1658.7094,1662.9232,4.213799999999992
156,Thus,1662.9837,1666.8013,3.817600000000084
157,to,1666.8378,1670.6381,3.800299999999879
158,mine,1670.674,1674.7112,4.037199999999984
159,eyes.,1674.7486,1678.7872,4.038600000000088
160,Now,1678.8315,1682.1658,3.3342999999999847
161,o’er,1682.2,1685.8704,3.6703999999999724
162,the,1685.9068,1689.9865,4.0797000000000025
163,one-half,1690.032,1694.893,4.861000000000104
164,world,1694.9349,1698.7139,3.7789999999999964
165,Nature,1698.7512,1702.6861,3.9348999999999705
166,seems,1702.7406,1708.0712,5.330600000000004
167,"dead,",1708.108,1711.7412,3.633199999999988
168,and,1711.7765,1715.7668,3.990300000000161
169,wicked,1715.8046,1721.039,5.234400000000051
170,dreams,1721.0772,1725.1052,4.02800000000002
171,abuse,1725.1433,1729.0274,3.8840999999999894
172,The,1729.0627,1732.7534,3.6907000000001062
173,curtained,1732.8139,1737.629,4.815099999999802
174,sleep.,1737.6769,1741.3181,3.641200000000026
175,Witchcraft,1741.3526,1744.7802,3.427599999999984
176,celebrates,1744.846,1749.446,4.599999999999909
177,Pale,1749.5214,1753.6781,4.156700000000001
178,Hecate’s,1753.7347,1757.4374,3.70270000000005
179,"off’rings,",1757.4736,1761.1462,3.672599999999875
180,and,1761.1826,1765.5468,4.3641999999999825
181,withered,1765.5866,1770.7417,5.155099999999948
182,"murder,",1770.7849,1774.2111,3.4261999999998807
183,Alarumed,1774.253,1777.6111,3.3581000000001495
184,by,1777.6469,1781.585,3.9381000000000768
185,his,1781.6226,1785.3626,3.740000000000009
186,"sentinel,",1785.4008,1789.0804,3.679600000000164
187,the,1789.1181,1793.8005,4.682400000000143
188,"wolf,",1793.8415,1797.5408,3.699299999999994
189,Whose,1797.5972,1801.6082,4.010999999999967
190,howl’s,1801.6505,1805.2389,3.5884000000000924
191,his,1805.2757,1808.8965,3.620800000000145
192,"watch,",1808.9367,1812.5088,3.5721000000000913
193,thus,1812.5452,1816.2585,3.71329999999989
194,with,1816.31,1819.6763,3.3663000000001375
195,his,1819.7121,1822.9835,3.271400000000085
196,stealthy,1823.0171,1827.1069,4.089799999999968
197,"pace,",1827.144,1831.2943,4.150300000000016
198,With,1831.3318,1834.6977,3.3659000000000106
199,Tarquin’s,1834.734,1838.3358,3.6018000000001393
200,ravishing,1838.3733,1842.3431,3.9698000000000775
201,"strides,",1842.4054,1846.6909,4.285499999999956
202,towards,1846.7305,1850.3839,3.653400000000147
203,his,1850.4341,1853.7987,3.3646000000001095
204,design,1853.8366,1857.9448,4.108199999999897
205,Moves,1857.9947,1861.8128,3.8180999999999585
206,like,1861.8589,1865.2491,3.39020000000005
207,a,1865.2952,1868.7607,3.46550000000002
208,ghost.,1868.8079,1872.4838,3.675899999999956
209,Thou,1872.5178,1876.5223,4.004500000000007
210,sure,1876.5596,1879.9995,3.4398999999998523
211,and,1880.0423,1883.4116,3.369299999999839
212,firm-set,1883.4533,1887.094,3.6407000000001517
213,"earth,",1887.1464,1891.7513,4.604899999999816
214,Hear,1891.7891,1895.5309,3.741800000000012
215,not,1895.5668,1899.1391,3.572300000000041
216,my,1899.2065,1902.7863,3.5797999999999774
217,"steps,",1902.8418,1907.1993,4.357500000000073
218,which,1907.2382,1911.0279,3.789700000000039
