,string,start_ms,end_ms,latency_ms,type
242,with,2005.4342,2008.9651,3.5309,API Rest
243,it.,2009.0106,2013.1401,4.1295,API Rest
244,Whiles,2013.1759,2017.2476,4.0717,API Rest
245,I,2017.289,2021.0356,3.7466,API Rest
246,"threat,",2021.0774,2024.4075,3.3301,API Rest
247,he,2024.4528,2028.1243,3.6715,API Rest
248,lives.,2028.1608,2031.8833,3.7225,API Rest
249,Words,2031.9381,2035.3091,3.371,API Rest
250,to,2035.3591,2038.9657,3.6066,API Rest
251,the,2039.0153,2042.3636,3.3483,API Rest
252,heat,2042.4084,2046.3275,3.9191,API Rest
253,of,2046.3667,2050.2808,3.9141,API Rest
254,deeds,2050.3185,2053.7409,3.4224,API Rest
255,too,2053.7898,2057.1975,3.4077,API Rest
256,cold,2057.2368,2061.8252,4.5884,API Rest
257,breath,2061.8745,2065.9096,4.0351,API Rest
258,gives.,2065.964,2069.4542,3.4902,API Rest
259,A,2069.4989,2072.7637,3.2648,API Rest
260,bell,2072.8074,2076.3699,3.5625,API Rest
261,rings.,2076.4134,2080.2786,3.8652,API Rest
262,I,2080.3198,2083.6236,3.3038,API Rest
263,"go,",2083.6645,2087.1102,3.4457,API Rest
264,and,2087.1463,2090.9791,3.8328,API Rest
265,it,2091.0176,2094.728,3.7104,API Rest
266,is,2094.8393,2098.4636,3.6243,API Rest
267,done.,2098.4999,2102.1972,3.6973,API Rest
268,The,2102.2369,2105.9983,3.7614,API Rest
269,bell,2106.0604,2110.1355,4.0751,API Rest
270,invites,2110.1829,2113.8067,3.6238,API Rest
271,me.,2113.8439,2117.1768,3.3329,API Rest
272,Hear,2117.2131,2120.93,3.7169,API Rest
273,it,2120.9666,2126.3753,5.4087,API Rest
274,"not,",2126.4155,2130.5895,4.174,API Rest
275,"Duncan,",2130.6291,2134.0508,3.4217,API Rest
276,for,2134.0875,2138.0228,3.9353,API Rest
277,it,2138.1254,2143.1341,5.0087,API Rest
278,is,2143.1736,2146.9577,3.7841,API Rest
279,a,2146.997,2150.4017,3.4047,API Rest
280,knell,2150.4363,2154.836,4.3997,API Rest
281,That,2154.8779,2159.2167,4.3388,API Rest
282,summons,2159.2546,2162.9778,3.7232,API Rest
283,thee,2163.0162,2166.6205,3.6043,API Rest
284,to,2166.6529,2171.0845,4.4316,API Rest
285,heaven,2171.1249,2174.9716,3.8467,API Rest
286,or,2175.0256,2178.6185,3.5929,API Rest
287,to,2178.668,2182.0483,3.3803,API Rest
288,hell.,2182.0824,2187.1885,5.1061,API Rest
0,G,932.9764,938.8305,5.8541,gRPC
1,o,938.8972,939.6757,0.7785,gRPC
2, ,939.7091,940.4835,0.7744,gRPC
3,b,940.5307,941.32,0.7893,gRPC
4,i,941.3548,942.0558,0.701,gRPC
5,d,942.0864,942.7111,0.6247,gRPC
6, ,942.7444,943.3945,0.6501,gRPC
7,t,943.4247,944.0439,0.6192,gRPC
8,h,944.0884,944.4736,0.3852,gRPC
9,y,945.1316,945.5575,0.4259,gRPC
10, ,945.5872,945.9502,0.363,gRPC
11,m,945.9793,946.327,0.3477,gRPC
12,i,946.3561,946.7252,0.3691,gRPC
13,s,946.7532,947.0903,0.3371,gRPC
14,t,947.123,947.4217,0.2987,gRPC
15,r,947.4568,947.9987,0.5419,gRPC
16,e,948.0614,948.8038,0.7424,gRPC
17,s,948.8513,949.4833,0.632,gRPC
18,s,949.5198,950.0882,0.5684,gRPC
19,",",950.1264,950.6016,0.4752,gRPC
20, ,950.649,951.0475,0.3985,gRPC
21,w,951.0768,951.3954,0.3186,gRPC
22,h,951.4244,951.8051,0.3807,gRPC
23,e,951.8332,952.1885,0.3553,gRPC
24,n,952.2168,952.5579,0.3411,gRPC
25, ,952.5882,952.971,0.3828,gRPC
26,m,953.0005,953.3895,0.389,gRPC
27,y,953.4221,953.7699,0.3478,gRPC
28, ,953.7988,954.1678,0.369,gRPC
29,d,954.1972,954.5944,0.3972,gRPC
30,r,954.6239,954.993,0.3691,gRPC
31,i,955.0218,955.3735,0.3517,gRPC
