,string,start_ms,end_ms,latency_ms
170,dreams,16888.4492,16991.6233,103.17410000000018
171,abuse,16991.6753,17093.9392,102.26390000000174
172,The,17094.01,17191.0698,97.05980000000272
173,curtained,17191.1287,17298.8929,107.7641999999978
174,sleep.,17298.9579,17402.8698,103.91189999999915
175,Witchcraft,17402.937,17485.3897,82.452699999998
176,celebrates,17485.4389,17567.6286,82.189699999999
177,Pale,17567.6781,17652.2264,84.54829999999856
178,Hecate’s,17652.2769,17734.6781,82.40120000000024
179,"off’rings,",17734.7276,17817.1786,82.45100000000093
180,and,17817.2436,17900.3532,83.10959999999977
181,withered,17900.411,17982.795,82.3839999999982
182,"murder,",17982.8501,18065.4072,82.55710000000181
183,Alarumed,18065.4859,18149.723,84.2371000000021
184,by,18149.7725,18233.7656,83.99309999999969
185,his,18233.8254,18315.5748,81.74939999999697
186,"sentinel,",18315.6254,18398.0376,82.41219999999885
187,the,18398.1272,18481.062,82.93480000000272
188,"wolf,",18481.1608,18563.9311,82.77030000000013
189,Whose,18564.0406,18649.2882,85.24759999999878
190,howl’s,18649.3452,18732.2943,82.94910000000164
191,his,18732.45,18817.801,85.35099999999875
192,"watch,",18817.942,18901.2064,83.26440000000002
193,thus,18901.3521,18984.6664,83.31429999999818
194,with,18984.8088,19067.4185,82.60970000000088
195,his,19067.4703,19152.2799,84.8096000000005
196,stealthy,19152.4398,19237.7595,85.31970000000001
197,"pace,",19237.8075,19321.8542,84.0467000000026
198,With,19321.9169,19404.8459,82.92900000000009
199,Tarquin’s,19404.9012,19488.0943,83.19310000000041
200,ravishing,19488.2545,19655.2068,166.95230000000083
201,"strides,",19655.3719,19756.9492,101.57730000000083
202,towards,19757.119,19859.5983,102.4793000000027
203,his,19859.7832,19961.8801,102.09689999999682
204,design,19962.151,20063.8341,101.68309999999838
205,Moves,20063.9765,20166.5842,102.60770000000048
206,like,20166.8097,20268.0576,101.24789999999848
207,a,20268.134,20372.4513,104.31730000000243
208,ghost.,20372.5088,20473.3267,100.81790000000183
209,Thou,20473.379,20575.0927,101.71370000000024
210,sure,20575.1932,20678.1712,102.97799999999916
211,and,20678.3304,20781.2669,102.9364999999998
212,firm-set,20781.4444,20883.4114,101.96700000000055
213,"earth,",20883.5729,20985.7313,102.15840000000026
214,Hear,20985.9104,21087.7675,101.85710000000108
215,not,21087.9713,21190.5202,102.54889999999796
216,my,21190.7039,21292.3893,101.68539999999848
217,"steps,",21292.5661,21395.6613,103.09519999999975
218,which,21395.8447,21497.9875,102.1427999999978
219,way,21498.1696,21581.6024,83.43279999999868
220,they,21581.6712,21664.323,82.65179999999964
221,"walk,",21664.5185,21747.7383,83.21980000000258
222,for,21747.9435,21830.7334,82.78989999999976
223,fear,21830.8469,21914.0587,83.21180000000095
224,Thy,21914.2358,21997.7746,83.53880000000208
225,very,21997.9526,22081.2106,83.25799999999799
226,stones,22081.3173,22164.0905,82.77319999999963
227,prate,22164.2425,22272.8807,108.63820000000123
228,of,22273.0634,22356.4081,83.34470000000147
229,my,22356.5646,22439.8403,83.27569999999832
230,whereabouts,22440.0944,22523.1915,83.09709999999905
231,And,22523.2632,22606.2716,83.0083999999988
232,take,22606.4256,22689.8168,83.39120000000185
233,the,22690.0622,22773.4075,83.34530000000086
234,present,22773.6016,22856.7593,83.15769999999975
235,horror,22856.9375,22940.4919,83.5544000000009
236,from,22940.6709,23025.4566,84.78570000000036
237,the,23025.6363,23110.9171,85.28080000000045
238,"time,",23111.0919,23214.9475,103.85559999999896
239,Which,23215.1283,23298.6522,83.52390000000014
240,now,23298.8312,23381.8708,83.03960000000006
241,suits,23381.9739,23467.5749,85.60099999999875
242,with,23467.7327,23551.3728,83.64010000000053
243,it.,23551.5865,23648.4082,96.82170000000042
244,Whiles,23648.6542,23751.0198,102.36559999999736
245,I,23751.1979,23854.1576,102.95969999999943
246,"threat,",23854.3368,23957.077,102.74020000000019
247,he,23957.2576,24057.2624,100.0047999999988
248,lives.,24057.4405,24263.1914,205.7508999999991
249,Words,24263.3693,24364.8873,101.51800000000003
250,to,24365.0641,24468.134,103.0698999999986
251,the,24468.3106,24555.1944,86.88379999999961
252,heat,24555.2796,24672.6217,117.34209999999803
253,of,24672.6838,24775.406,102.72220000000016
254,deeds,24775.5849,24878.1553,102.57039999999688
255,too,24878.3376,24979.1716,100.83400000000256
256,cold,24979.3497,25081.1781,101.82840000000215
257,breath,25081.2629,25183.4999,102.23699999999735
258,gives.,25183.6211,25286.3949,102.77379999999903
259,A,25286.5092,25388.974,102.46479999999792
260,bell,25389.0806,25491.261,102.18039999999746
261,rings.,25491.4721,25576.0626,84.59050000000207
262,I,25576.2452,25659.4331,83.18789999999717
263,"go,",25659.5467,25743.0212,83.47450000000026
