,string,start_ms,end_ms,latency_ms
87,which,20395.5264,20562.3383,166.8119000000006
88,now,20562.4053,20728.0091,165.60380000000077
89,I,20728.0487,20896.6369,168.58820000000196
90,draw.He,20896.7789,21077.9954,181.21649999999863
91,draws,21078.0641,21248.8448,170.78069999999934
92,his,21248.9127,21416.5768,167.66409999999814
93,dagger.,21416.7213,21594.9511,178.22979999999734
94,Thou,21595.0944,21768.0462,172.9517999999989
95,marshal’st,21768.1337,21941.4821,173.34840000000258
96,me,21941.5526,22122.8445,181.29190000000017
97,the,22122.9123,22295.0611,172.14879999999903
98,way,22295.1298,22461.1336,166.00380000000223
99,that,22461.2008,22629.7438,168.54300000000148
100,I,22629.8882,22802.166,172.27779999999984
101,was,22802.2009,22987.2561,185.05519999999888
102,"going,",22987.293,23160.5599,173.2668999999987
103,And,23160.5998,23331.7441,171.14429999999993
104,such,23331.8424,23499.9215,168.07909999999902
105,an,23500.0541,23672.9568,172.90269999999873
106,instrument,23673.0952,23842.1768,169.08160000000134
107,I,23842.276,24017.9969,175.72089999999662
108,was,24018.0889,24186.3498,168.26090000000113
109,to,24186.4011,24356.9507,170.5496000000021
110,use.,24357.019,24524.2692,167.25019999999859
111,Mine,24524.3702,24694.0374,169.66719999999987
112,eyes,24694.182,24866.5233,172.34130000000005
113,are,24866.5901,25039.8017,173.21159999999873
114,made,25039.9155,25210.645,170.72950000000128
115,the,25210.7563,25694.0585,483.30219999999827
116,fools,25694.1283,25862.461,168.33269999999902
117,o’,25862.5366,26034.5743,172.03770000000077
118,th’,26034.6443,26204.619,169.97469999999885
119,other,26204.6891,26377.949,173.25990000000093
120,senses,26378.0161,26553.1355,175.1193999999996
121,Or,26553.2794,26725.6952,172.41579999999885
122,else,26725.7319,26891.705,165.9731000000029
123,worth,26891.7728,27066.409,174.63620000000083
124,all,27066.4779,27235.5068,169.02889999999752
125,the,27235.5728,27402.2972,166.72439999999915
126,rest.,27402.3357,27573.6422,171.30649999999878
127,I,27573.7639,27742.4619,168.69799999999668
128,see,27742.5182,27909.0296,166.51140000000305
129,thee,27909.0974,28085.5814,176.48400000000038
130,"still,",28085.6211,28252.6223,167.0011999999988
131,"And,",28252.6594,28734.5754,481.9160000000011
132,on,28734.6263,28907.2633,172.6369999999988
133,thy,28907.3461,29086.601,179.2548999999999
134,blade,29086.6679,29255.7912,169.1232999999993
135,and,29255.8599,29432.7243,176.8644000000022
136,"dudgeon,",29432.7957,29598.7691,165.97340000000258
137,gouts,29598.8364,29765.2671,166.4307000000008
138,of,29765.3288,29932.8657,167.53689999999915
139,"blood,",29932.9324,30102.0622,169.1297999999988
140,Which,30102.1654,30274.1168,171.9513999999981
141,was,30274.1839,30448.7986,174.61469999999827
142,not,30448.8677,30621.2376,172.3699000000015
143,so,30621.3054,30792.6488,171.34339999999793
144,before.,30792.8915,30966.4992,173.60769999999684
145,There’s,30966.6403,31137.9905,171.35020000000077
146,no,31138.0978,31307.4862,169.38839999999982
147,such,31307.6248,31479.8136,172.1887999999999
148,thing.,31479.954,31651.641,171.68699999999808
149,It,31651.7346,31824.9663,173.23170000000027
150,is,31825.058,31996.7238,171.66579999999885
151,the,31996.8168,32173.6367,176.8198999999986
